anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,4888,534426,9.14626159655406,ILI
2024,43,4598,530428,8.66847149848801,ILI
2024,44,4425,536594,8.24645821608143,ILI
2024,45,5173,541747,9.54873769490186,ILI
2024,46,5263,540933,9.7294859067574,ILI
2024,47,5500,543117,10.1267314409234,ILI
2024,48,5741,534959,10.7316635480476,ILI
2024,49,5924,534627,11.080622564891,ILI
2024,50,6436,533065,12.073574517179,ILI
2024,51,6526,533948,12.2221639560407,ILI
2024,52,5636,496467,11.3522147494194,ILI
2025,1,6570,506647,12.9676086111237,ILI
2025,2,8431,533599,15.8002544982281,ILI
2025,3,8939,526258,16.9859650589635,ILI
2025,4,9172,498959,18.3822718900751,ILI
2025,5,8818,480642,18.3462951635521,ILI
2025,6,6269,384732,16.2944595198736,ILI
