anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,4918,549151,8.95564243714388,ILI
2024,43,4613,544733,8.46836890733626,ILI
2024,44,4448,551953,8.05865716827338,ILI
2024,45,5180,555709,9.32142542229836,ILI
2024,46,5287,555595,9.51592436936977,ILI
2024,47,5517,555666,9.9286261891136,ILI
2024,48,5767,550223,10.4812048932887,ILI
2024,49,5954,549886,10.8276988321216,ILI
2024,50,6473,550042,11.7681922471375,ILI
2024,51,6604,550407,11.9983939157751,ILI
2024,52,5764,520327,11.0776492474924,ILI
2025,1,6753,531696,12.7008666606482,ILI
2025,2,8649,560362,15.4346654484066,ILI
2025,3,9338,556368,16.7838552900239,ILI
2025,4,9724,545870,17.8137651821862,ILI
2025,5,9635,546156,17.6414797237419,ILI
2025,6,8399,529395,15.8652801783168,ILI
2025,7,7544,527363,14.3051370687743,ILI
2025,8,6903,524905,13.1509511244892,ILI
2025,9,5793,516613,11.2134228135955,ILI
2025,10,4668,512989,9.09961032302837,ILI
2025,11,4111,505113,8.13877290824033,ILI
2025,12,3466,464457,7.46247768900027,ILI
2025,13,2397,374710,6.39694697232527,ILI
