anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,30,16178,1.8543701322784,ILI
2024,43,33,16178,2.03980714550624,ILI
2024,44,25,16178,1.54530844356534,ILI
2024,45,30,16178,1.8543701322784,ILI
2024,46,41,16178,2.53430584744715,ILI
2024,47,38,16178,2.34886883421931,ILI
2024,48,38,16178,2.34886883421931,ILI
2024,49,42,16178,2.59611818518976,ILI
2024,50,66,16178,4.07961429101249,ILI
2024,51,80,16178,4.94498701940907,ILI
2024,52,92,16178,5.68673507232044,ILI
2025,1,102,14720,6.92934782608696,ILI
2025,2,141,14720,9.57880434782609,ILI
2025,3,102,14720,6.92934782608696,ILI
2025,4,97,14720,6.58967391304348,ILI
2025,5,92,14720,6.25,ILI
2025,6,104,16178,6.4284831252318,ILI
2025,7,94,16178,5.81035974780566,ILI
2025,8,79,16178,4.88317468166646,ILI
2025,9,72,16178,4.45048831746817,ILI
2025,10,75,16178,4.63592533069601,ILI
2025,11,45,16178,2.7815551984176,ILI
2025,12,24,13338,1.79937022042285,ILI
