anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,81,16642,4.86720346112246,ILI
2024,43,95,18006,5.27601910474286,ILI
2024,44,70,18006,3.88759302454737,ILI
2024,45,77,18006,4.27635232700211,ILI
2024,46,92,18006,5.1094079751194,ILI
2024,47,68,16463,4.13047439713297,ILI
2024,48,63,16463,3.8267630444026,ILI
2024,49,49,16612,2.94967493378281,ILI
2024,50,67,16113,4.15813318438528,ILI
2024,51,56,15164,3.69295700342917,ILI
2024,52,53,16113,3.28926953391671,ILI
2025,1,75,13590,5.51876379690949,ILI
2025,2,113,14539,7.77219891326776,ILI
2025,3,148,16113,9.18513001923912,ILI
2025,4,135,16113,8.37832805808974,ILI
2025,5,150,14570,10.2951269732327,ILI
2025,6,122,15164,8.04537061461356,ILI
2025,7,144,16113,8.93688326196239,ILI
2025,8,122,14570,8.37336993822924,ILI
2025,9,85,13621,6.24036414360179,ILI
2025,10,66,12248,5.38863487916395,ILI
2025,11,47,10677,4.40198557647279,ILI
2025,12,13,5960,2.18120805369127,ILI
