anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,270,163157,1.65484778464914,ILI
2024,43,362,163157,2.21872184460366,ILI
2024,44,413,163190,2.53079232796127,ILI
2024,45,732,163190,4.48556896868681,ILI
2024,46,844,163190,5.17188553220173,ILI
2024,47,951,163190,5.82756296341688,ILI
2024,48,1036,161678,6.40779821620752,ILI
2024,49,1163,161678,7.19331015970014,ILI
2024,50,1380,163200,8.45588235294118,ILI
2024,51,1682,160383,10.4873957963126,ILI
2024,52,1824,157474,11.5828644728654,ILI
2025,1,2073,147752,14.0302669337809,ILI
2025,2,1577,98670,15.9825681564812,ILI
