anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,56,25381,2.20637484732674,ILI
2024,43,67,25381,2.63976990662306,ILI
2024,44,69,25381,2.71856900831331,ILI
2024,45,101,25381,3.97935463535716,ILI
2024,46,111,25381,4.37335014380836,ILI
2024,47,156,25381,6.14632993183878,ILI
2024,48,176,25381,6.93432094874118,ILI
2024,49,196,25381,7.72231196564359,ILI
2024,50,184,25381,7.24951735550215,ILI
2024,51,261,22150,11.7832957110609,ILI
2024,52,227,22150,10.2483069977427,ILI
2025,1,194,18923,10.2520741954236,ILI
