anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,106,28108,3.7711683506475,ILI
2024,43,101,30700,3.28990228013029,ILI
2024,44,116,30700,3.7785016286645,ILI
2024,45,148,29105,5.0850369352345,ILI
2024,46,144,29105,4.94760350455248,ILI
2024,47,233,29105,8.00549733722728,ILI
2024,48,241,29105,8.28036419859131,ILI
2024,49,202,29105,6.94038824944168,ILI
2024,50,258,30215,8.5388052291908,ILI
2024,51,218,26828,8.12583867601014,ILI
2024,52,211,26828,7.86491725063367,ILI
2025,1,218,26828,8.12583867601014,ILI
2025,2,348,26828,12.9715222901446,ILI
2025,3,331,20871,15.8593263379809,ILI
2025,4,313,15887,19.7016428526468,ILI
