anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,914,171224,5.33803672382376,ILI
2024,43,1024,170379,6.01013035644064,ILI
2024,44,976,183918,5.3067127741711,ILI
2024,45,1173,191599,6.1221613891513,ILI
2024,46,1386,201464,6.8796410276774,ILI
2024,47,1513,211861,7.14147483491535,ILI
2024,48,1464,209224,6.99728520628609,ILI
2024,49,1538,211565,7.26963344598587,ILI
2024,50,1699,211565,8.03062888473992,ILI
2024,51,1689,208868,8.0864469425666,ILI
2024,52,1301,201264,6.4641465935289,ILI
2025,1,1506,204610,7.36034406920483,ILI
2025,2,2262,209872,10.7779980178394,ILI
2025,3,2514,209872,11.9787298925059,ILI
2025,4,2987,209872,14.2324845620188,ILI
2025,5,2910,207511,14.0233529788782,ILI
2025,6,2546,203435,12.5150539484356,ILI
2025,7,2524,202436,12.4681380782074,ILI
2025,8,2348,202436,11.5987274990614,ILI
2025,9,2287,202436,11.297397696062,ILI
2025,10,1714,198208,8.64748143364546,ILI
2025,11,1435,196405,7.30633130521117,ILI
2025,12,1034,194607,5.31327238999625,ILI
2025,13,958,191427,5.00451869381017,ILI
2025,14,867,185447,4.67519021607252,ILI
2025,15,788,165182,4.77049557457834,ILI
2025,16,542,138642,3.90934925924323,ILI
2025,17,259,93591,2.76736010941223,ILI
